id;id_index;kode_provinsi;nama_provinsi;kab_kota;nama_jembatan;periode_update;kategori;jumlah;satuan;tahun
7359;300289156;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
643;300248861;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1896;300263897;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3149;300271415;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4402;300256379;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5655;300278933;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6908;300286451;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
642;300248855;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1895;300263891;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3148;300271409;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4401;300256373;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5654;300278927;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6907;300286445;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI I;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
644;300248867;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
1897;300263903;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3150;300271421;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4403;300256385;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
5656;300278939;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
6909;300286457;35;JAWA TIMUR;KABUPATEN PACIRTAN;ARJOSARI II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1197;300252185;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2450;300267221;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3703;300274739;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4956;300259703;35;JAWA TIMUR;KABUPATEN SAMPANG;ASTAPAH I;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
